motor_front,motor_back,pitch_filter,pitch_raw
690, 310, -6.354817, -6.989706
691, 309, -6.377661, -6.534356
691, 309, -6.388299, -5.442828
691, 309, -6.388859, -5.217097
691, 309, -6.386014, -5.395203
692, 308, -6.411551, -6.422675
693, 307, -6.456270, -6.655221
695, 305, -6.503927, -6.517222
696, 304, -6.538960, -6.644828
697, 303, -6.573661, -7.053807
698, 302, -6.622975, -7.872285
700, 300, -6.687840, -7.739191
702, 298, -6.734766, -6.741454
703, 297, -6.784825, -6.731190
705, 295, -6.837806, -7.121892
706, 294, -6.890518, -7.688097
707, 293, -6.928656, -7.351260
708, 292, -6.963216, -6.956354
710, 290, -7.003657, -6.937850
711, 289, -7.052015, -7.130791
712, 288, -7.094775, -6.890499
713, 287, -7.122560, -6.677114
714, 286, -7.149390, -6.678815
715, 285, -7.171904, -6.879765
715, 285, -7.189118, -6.926916
716, 284, -7.201488, -7.124621
716, 284, -7.214170, -7.365661
716, 284, -7.228621, -7.633079
717, 283, -7.254267, -7.969748
718, 282, -7.282737, -7.961522
719, 281, -7.310937, -7.862090
720, 280, -7.345054, -7.710416
721, 279, -7.382075, -7.528615
722, 278, -7.423380, -7.323328
723, 277, -7.461250, -7.524459
725, 275, -7.506103, -7.797413
726, 274, -7.545617, -8.010240
727, 273, -7.571683, -8.027905
727, 273, -7.592528, -8.051856
728, 272, -7.606757, -7.752270
728, 272, -7.617527, -7.366662
728, 272, -7.614901, -6.397378
728, 272, -7.618353, -5.988622
728, 272, -7.621084, -5.747771
728, 272, -7.632668, -6.110227
729, 271, -7.648307, -6.581481
730, 270, -7.683055, -7.687781
731, 269, -7.717249, -8.188473
732, 268, -7.746110, -8.939078
732, 268, -7.766570, -9.167742
733, 267, -7.781475, -9.305738
733, 267, -7.785124, -9.329750
733, 267, -7.781354, -9.220812
733, 267, -7.767739, -9.000207
732, 268, -7.746768, -8.539721
731, 269, -7.725383, -8.156593
730, 270, -7.694619, -7.320498
729, 271, -7.666031, -6.848155
729, 271, -7.640285, -6.508682
728, 272, -7.612235, -6.213043
727, 273, -7.598117, -6.294324
727, 273, -7.585651, -6.608359
727, 273, -7.578698, -6.816277
726, 274, -7.565958, -7.051151
726, 274, -7.558950, -7.489855
726, 274, -7.542057, -7.691041
725, 275, -7.520745, -8.102424
724, 276, -7.487297, -8.207211
723, 277, -7.438246, -8.220805
721, 279, -7.367558, -7.913547
718, 282, -7.283732, -7.742519
715, 285, -7.186061, -7.597256
712, 288, -7.083372, -7.528467
709, 291, -6.975155, -7.337061
705, 295, -6.858421, -6.725106
702, 298, -6.738180, -6.534750
698, 302, -6.617680, -6.463264
694, 306, -6.493838, -6.312127
691, 309, -6.375152, -6.193799
687, 313, -6.251833, -6.061198
684, 316, -6.133801, -6.128724
680, 320, -6.026109, -6.199671
677, 323, -5.919467, -6.040303
674, 326, -5.802844, -6.075709
670, 330, -5.680534, -6.258589
666, 334, -5.558957, -6.454425
663, 337, -5.433851, -6.210449
659, 341, -5.318967, -5.911753
656, 344, -5.219093, -6.151104
653, 347, -5.117742, -6.465693
650, 350, -5.003355, -6.179991
646, 354, -4.884414, -5.426627
642, 358, -4.752590, -3.866332
638, 362, -4.616917, -3.434300
634, 366, -4.488422, -3.344947
631, 369, -4.385080, -3.631589
628, 372, -4.290900, -3.592938
625, 375, -4.196837, -3.546603
623, 377, -4.100666, -3.552308
620, 380, -4.004930, -3.676669
617, 383, -3.916853, -4.297339
614, 386, -3.827213, -4.588117
612, 388, -3.736898, -4.949728
609, 391, -3.644329, -5.069123
606, 394, -3.547118, -4.877784
603, 397, -3.441666, -4.029833
599, 401, -3.331620, -3.511860
596, 404, -3.225355, -3.106870
593, 407, -3.111169, -2.485822
590, 410, -3.004443, -2.433464
587, 413, -2.902513, -2.516104
584, 416, -2.810885, -2.606270
581, 419, -2.721668, -2.719187
578, 422, -2.631042, -2.731840
576, 424, -2.543174, -2.729652
573, 427, -2.450956, -2.391657
570, 430, -2.348403, -1.966526
567, 433, -2.240831, -1.872186
563, 437, -2.127813, -2.061460
560, 440, -2.014819, -2.287373
556, 444, -1.888321, -2.524712
552, 448, -1.751701, -2.911404
548, 452, -1.606264, -2.999410
543, 457, -1.443272, -2.805840
537, 463, -1.266301, -2.467283
532, 468, -1.082453, -1.818264
526, 474, -0.869023, -0.390219
519, 481, -0.663946, 0.299915
513, 487, -0.440262, 1.383763
506, 494, -0.224977, 1.894869
500, 500, -0.027802, 1.824601
