motor_front,motor_back,pitch_filter,pitch_desired
550, 450, -4.922700, -0.000000
550, 450, -4.933183, -0.000000
549, 451, -4.946242, -0.000000
546, 454, -4.945052, -0.000000
547, 453, -4.945419, -0.000000
545, 455, -4.942999, -0.000000
544, 456, -4.938362, -0.000000
542, 458, -4.933133, -0.000000
543, 457, -4.930537, -0.000000
542, 458, -4.925248, -0.000000
544, 456, -4.911149, -0.000000
544, 456, -4.898557, -0.000000
543, 457, -4.878042, -0.000000
546, 454, -4.870164, -0.000000
545, 455, -4.856815, -0.000000
547, 453, -4.846897, -0.000000
546, 454, -4.823030, -0.000000
548, 452, -4.804258, -0.000000
547, 453, -4.783074, -0.000000
548, 452, -4.769548, -0.000000
549, 451, -4.760918, -0.000000
549, 451, -4.752791, -0.000000
549, 451, -4.743912, -0.000000
549, 451, -4.733040, -0.000000
552, 448, -4.730957, -0.000000
549, 451, -4.727042, -0.000000
550, 450, -4.733066, -0.000000
550, 450, -4.745780, -0.000000
548, 452, -4.763298, -0.000000
548, 452, -4.777829, -0.000000
549, 451, -4.796679, -0.000000
548, 452, -4.813706, -0.000000
548, 452, -4.833651, -0.000000
547, 453, -4.854893, -0.000000
548, 452, -4.875021, -0.000000
547, 453, -4.886777, -0.000000
548, 452, -4.890989, -0.000000
548, 452, -4.887875, -0.000000
547, 453, -4.879563, -0.000000
548, 452, -4.877365, -0.000000
548, 452, -4.874332, -0.000000
547, 453, -4.865900, -0.000000
548, 452, -4.860269, -0.000000
548, 452, -4.841765, -0.000000
548, 452, -4.817415, -0.000000
550, 450, -4.800217, -0.000000
549, 451, -4.786005, -0.000000
551, 449, -4.780974, -0.000000
552, 448, -4.780809, -0.000000
551, 449, -4.779951, -0.000000
554, 446, -4.786131, -0.000000
553, 447, -4.796474, -0.000000
553, 447, -4.812058, -0.000000
553, 447, -4.834318, -0.000000
551, 449, -4.858328, -0.000000
552, 448, -4.886458, -0.000000
561, 457, -4.911078, -0.000000
561, 457, -4.930387, -0.000000
560, 458, -4.943101, -0.000000
558, 460, -4.950490, -0.000000
560, 458, -4.964098, -0.000000
559, 459, -4.979098, -0.000000
559, 459, -4.992540, -0.000000
560, 458, -5.001140, -0.000000
559, 459, -5.002993, -0.000000
616, 512, -5.006169, -0.000000
615, 513, -5.010670, -0.000000
616, 512, -5.018888, -0.000000
615, 513, -5.024040, -0.000000
614, 514, -5.021729, -0.000000
619, 509, -5.028792, -0.000000
615, 513, -5.026217, -0.000000
614, 514, -5.021630, -0.000000
617, 511, -5.022990, -0.000000
616, 512, -5.022325, -0.000000
615, 513, -5.021155, -0.000000
616, 512, -5.020305, -0.000000
619, 509, -5.030099, -0.000000
614, 514, -5.030347, -0.000000
615, 513, -5.031801, -0.000000
615, 513, -5.036234, -0.000000
615, 513, -5.042063, -0.000000
618, 510, -5.051653, -0.000000
617, 511, -5.052661, -0.000000
616, 512, -5.055137, -0.000000
617, 511, -5.063978, -0.000000
616, 512, -5.067665, -0.000000
617, 511, -5.076081, -0.000000
615, 513, -5.084798, -0.000000
613, 515, -5.084657, -0.000000
613, 515, -5.089144, -0.000000
615, 513, -5.100417, -0.000000
608, 520, -5.095653, -0.000000
612, 516, -5.099738, -0.000000
611, 517, -5.099285, -0.000000
607, 521, -5.086243, -0.000000
613, 515, -5.088081, -0.000000
612, 516, -5.084287, -0.000000
609, 519, -5.074152, -0.000000
613, 515, -5.071214, -0.000000
616, 512, -5.074404, -0.000000
613, 515, -5.065262, -0.000000
615, 513, -5.061846, -0.000000
652, 548, -5.060245, -0.000000
650, 550, -5.054493, -0.000000
