roll_accel,roll_intl,roll_cal
  -1.63663,   -0.20469,   -1.52605
  -1.63663,   -0.20150,   -1.52514
  -1.63663,   -0.19854,   -1.52446
  -1.63663,   -0.19513,   -1.52337
  -1.93594,   -0.19155,   -1.52811
  -1.93594,   -0.18767,   -1.53246
  -1.93594,   -0.18360,   -1.53655
  -1.93594,   -0.17947,   -1.54049
  -2.12331,   -0.17574,   -1.54849
  -2.12331,   -0.17182,   -1.55614
  -2.12331,   -0.16761,   -1.56336
  -2.12331,   -0.16337,   -1.57040
  -2.13403,   -0.15912,   -1.57751
  -2.13403,   -0.15435,   -1.58397
  -2.13403,   -0.14945,   -1.59017
  -2.13403,   -0.14480,   -1.59649
  -1.92889,   -0.14019,   -1.59861
  -1.92889,   -0.13558,   -1.60070
  -1.92889,   -0.13126,   -1.60303
  -1.92889,   -0.12701,   -1.60538
  -1.60086,   -0.12243,   -1.60081
  -1.60086,   -0.11771,   -1.59618
  -1.60086,   -0.11265,   -1.59131
  -1.60086,   -0.10769,   -1.58665
  -1.26274,   -0.10296,   -1.57553
  -1.26274,   -0.09846,   -1.56486
  -1.26274,   -0.09406,   -1.55451
  -1.26274,   -0.09003,   -1.54473
  -0.95276,   -0.08586,   -1.52880
  -0.95276,   -0.08150,   -1.51301
  -0.95276,   -0.07733,   -1.49772
  -0.95276,   -0.07316,   -1.48273
  -0.71101,   -0.06887,   -1.46310
  -0.71101,   -0.06407,   -1.44335
  -0.71101,   -0.05902,   -1.42375
  -0.71101,   -0.05353,   -1.40411
  -0.49731,   -0.04762,   -1.38019
  -0.50818,   -0.04111,   -1.35637
  -0.50818,   -0.03425,   -1.33268
  -0.50818,   -0.02722,   -1.30930
  -0.50818,   -0.01975,   -1.28596
  -0.38753,   -0.01199,   -1.26039
  -0.38753,   -0.00409,   -1.23518
  -0.38753,    0.00415,   -1.21015
  -0.38753,    0.01220,   -1.18581
  -0.49669,    0.02034,   -1.16406
  -0.49669,    0.02822,   -1.14298
  -0.49669,    0.03613,   -1.12231
  -0.49669,    0.04306,   -1.10301
  -0.68768,    0.04991,   -1.08798
