motor_front,motor_back,pitch_filter,gyro
300, 700, -11.140855, 50.101379
273, 727, -10.775495, 56.784935
247, 753, -10.379868, 63.376934
194, 806, -9.915502, 76.713531
146, 854, -9.411403, 88.554703
90, 910, -8.828983, 102.715294
44, 956, -8.191147, 114.098701
-6, 1006, -7.477910, 126.611282
-54, 1054, -6.679873, 138.574539
-109, 1109, -5.766028, 152.277359
-143, 1143, -4.791288, 160.914093
-168, 1168, -3.748656, 167.078827
-209, 1209, -2.636058, 177.424606
-237, 1237, -1.481627, 184.382828
-254, 1254, -0.266035, 188.746979
-269, 1269, 0.970676, 192.256607
-263, 1263, 2.200152, 190.883270
-245, 1245, 3.453323, 186.458084
-211, 1211, 4.683996, 177.973938
-165, 1165, 5.913872, 166.498978
-115, 1115, 7.072371, 153.803284
-65, 1065, 8.155411, 141.290695
-14, 1014, 9.161127, 128.595001
38, 962, 10.063958, 115.655144
94, 906, 10.875062, 101.738701
148, 852, 11.567481, 88.127449
198, 802, 12.165883, 75.675896
244, 756, 12.682763, 64.109383
287, 713, 13.115997, 53.336346
317, 683, 13.494036, 45.798271
354, 646, 13.816008, 36.612202
377, 623, 14.103149, 30.752647
401, 599, 14.363965, 24.801538
410, 590, 14.608917, 22.665243
422, 578, 14.829865, 19.582872
420, 580, 15.043715, 20.193243
422, 578, 15.244036, 19.735466
424, 576, 15.424448, 19.155615
429, 571, 15.592236, 17.904356
442, 558, 15.740509, 14.669394
455, 545, 15.883550, 11.281838
470, 530, 16.006624, 7.711173
492, 508, 16.095259, 2.095767
511, 489, 16.147354, -2.787194
532, 468, 16.153950, -8.036378
549, 451, 16.109020, -12.308969
576, 424, 16.010555, -19.023043
597, 403, 15.865295, -24.394300
624, 376, 15.667629, -31.108372
653, 347, 15.424037, -38.432816
680, 320, 15.142534, -45.085850
706, 294, 14.822942, -51.677849
735, 265, 14.463091, -58.758144
751, 249, 14.081139, -62.969700
786, 214, 13.646101, -71.545395
801, 199, 13.185563, -75.390732
822, 178, 12.700424, -80.639908
853, 147, 12.171397, -88.391617
879, 121, 11.613632, -94.769981
906, 94, 11.020860, -101.545090
929, 71, 10.396692, -107.496201
961, 39, 9.727240, -115.431015
988, 12, 9.008606, -122.084045
1020, -20, 8.227624, -130.201981
1046, -46, 7.406110, -136.732925
1070, -70, 6.547585, -142.500931
1087, -87, 5.633701, -146.895599
1096, -96, 4.685491, -149.214996
1091, -91, 3.673224, -147.933228
1073, -73, 2.664999, -143.385971
1056, -56, 1.664377, -139.113373
1031, -31, 0.664932, -132.948639
1005, -5, -0.292596, -126.417679
978, 22, -1.194531, -119.612053
953, 47, -2.041976, -113.294716
925, 75, -2.825143, -106.367012
893, 107, -3.547323, -98.432205
866, 134, -4.221228, -91.687607
841, 159, -4.842755, -85.339760
813, 187, -5.424574, -78.351021
775, 225, -5.951072, -68.798729
737, 263, -6.467247, -59.460072
697, 303, -6.935877, -49.358444
659, 341, -7.355785, -39.836666
635, 365, -7.741830, -33.763485
606, 394, -8.067260, -26.652670
599, 401, -8.342711, -24.974150
605, 395, -8.601118, -26.439039
615, 385, -8.841594, -28.819483
624, 376, -9.035770, -31.169409
636, 364, -9.224867, -34.129704
650, 350, -9.420165, -37.517262
665, 335, -9.640172, -41.484665
671, 329, -9.870456, -42.919037
662, 338, -10.112623, -40.660667
647, 353, -10.342843, -36.754299
623, 377, -10.556325, -30.772667
585, 415, -10.762909, -21.281412
550, 450, -10.933218, -12.614154
520, 480, -11.076727, -5.167638
494, 506, -11.171795, 1.668508
475, 525, -11.221796, 6.368358
460, 540, -11.201376, 10.000061
452, 548, -11.140366, 12.197394
448, 552, -11.049358, 13.112949
444, 556, -10.914064, 14.120060
432, 568, -10.753144, 17.232948
415, 585, -10.575981, 21.413984
385, 615, -10.371578, 28.860500
344, 656, -10.126181, 39.145233
312, 688, -9.874886, 47.019012
276, 724, -9.576572, 56.174564
238, 762, -9.219730, 65.635307
185, 815, -8.763672, 78.758263
139, 861, -8.116098, 90.446854
93, 907, -7.433589, 101.891296
76, 924, -6.782579, 106.072334
59, 941, -5.900236, 110.344917
53, 947, -4.954034, 111.992920
44, 956, -4.053366, 114.190254
22, 978, -2.973099, 119.714104
-10, 1010, -1.916052, 127.618408
-37, 1037, -0.792882, 134.332474
-51, 1051, 0.004631, 137.842087
-48, 1048, 0.698957, 137.018097
-42, 1042, 1.457844, 135.675278
-25, 1025, 2.296046, 131.402695
-6, 1006, 3.049059, 126.550247
9, 991, 3.799819, 122.888031
34, 966, 4.530078, 116.692772
60, 940, 5.237391, 110.100769
92, 908, 5.922501, 102.135445
118, 882, 6.569569, 95.543449
143, 857, 7.176349, 89.317665
165, 835, 7.743243, 83.976929
183, 817, 8.272323, 79.277077
196, 804, 8.768546, 76.133675
211, 789, 9.234152, 72.318863
227, 773, 9.673264, 68.412491
241, 759, 10.091397, 64.994423
249, 751, 10.500040, 62.919155
268, 732, 10.885673, 58.127750
270, 730, 11.289929, 57.608936
291, 709, 11.667086, 52.298714
297, 703, 12.039927, 50.955898
314, 686, 12.385660, 46.622272
330, 670, 12.706905, 42.654865
336, 664, 13.014855, 41.128941
353, 647, 13.295431, 36.856350
374, 626, 13.543739, 31.607168
398, 602, 13.760278, 25.564501
416, 584, 13.954880, 21.017244
441, 559, 14.123712, 14.883023
462, 538, 14.262123, 9.603321
489, 511, 14.356694, 2.797693
511, 489, 14.414622, -2.878750
534, 466, 14.434067, -8.646748
563, 437, 14.406605, -15.757561
594, 406, 14.326254, -23.631336
623, 377, 14.204856, -30.986298
646, 354, 14.044096, -36.632225
668, 332, 13.849585, -42.186592
690, 310, 13.600436, -47.618889
700, 300, 13.323936, -50.151920
712, 288, 13.018123, -53.020664
720, 280, 12.691727, -55.156956
728, 272, 12.351526, -57.079624
734, 266, 12.009926, -58.697105
745, 255, 11.662049, -61.382732
760, 240, 11.303516, -65.014435
764, 236, 10.945067, -66.113106
778, 222, 10.573413, -69.714279
792, 208, 10.199542, -73.101837
808, 192, 9.816518, -77.160805
830, 170, 9.408550, -82.684647
856, 144, 8.967139, -89.185089
867, 133, 8.510558, -91.931755
