motor_front,motor_back,pitch_filter,pitch_raw
319, 681, 14.389584, 15.345301
314, 686, 14.531335, 15.495274
312, 688, 14.672992, 15.404549
308, 692, 14.817759, 15.464300
304, 696, 14.974274, 15.662981
301, 699, 15.133140, 15.854024
297, 703, 15.298777, 15.935453
293, 707, 15.457614, 15.432141
290, 710, 15.609009, 15.080203
286, 714, 15.758559, 14.791524
284, 716, 15.908188, 14.971318
284, 716, 16.058832, 15.254327
284, 716, 16.214254, 15.928284
284, 716, 16.366802, 16.094440
285, 715, 16.509697, 16.195478
284, 716, 16.702530, 16.206213
286, 714, 16.831121, 15.944954
288, 712, 16.941082, 15.921034
291, 709, 17.035887, 15.900750
294, 706, 17.119513, 16.002857
297, 703, 17.201941, 16.633516
299, 701, 17.285004, 17.106396
298, 702, 17.379978, 17.726389
297, 703, 17.480577, 18.159718
293, 707, 17.594769, 18.485643
289, 711, 17.721014, 18.884445
286, 714, 17.848618, 18.815071
283, 717, 17.977686, 18.659452
279, 721, 18.107008, 18.479883
277, 723, 18.233360, 18.324453
274, 726, 18.361452, 18.312355
274, 726, 18.487236, 18.377958
271, 729, 18.617889, 18.649445
271, 729, 18.745420, 18.761278
271, 729, 18.868025, 18.869062
273, 727, 18.987984, 19.233246
283, 717, 19.081291, 19.622749
289, 711, 19.164320, 20.286524
291, 709, 19.257906, 21.280714
298, 702, 19.340595, 21.998905
295, 705, 19.426533, 21.955927
303, 697, 19.467527, 21.004293
304, 696, 19.476128, 19.532726
304, 696, 19.461428, 18.447437
304, 696, 19.432848, 17.720993
299, 701, 19.417845, 17.605335
296, 704, 19.416626, 17.790525
296, 704, 19.424145, 18.252808
299, 701, 19.433823, 18.875597
298, 702, 19.461733, 19.598183
301, 699, 19.499887, 20.605139
307, 693, 19.518982, 20.748146
306, 694, 19.542116, 20.889107
306, 694, 19.569635, 21.069319
304, 696, 19.597593, 20.727655
298, 702, 19.616653, 19.661592
289, 711, 19.646097, 18.849136
283, 717, 19.681475, 18.338173
278, 722, 19.717924, 17.857744
276, 724, 19.758438, 17.756090
272, 728, 19.827753, 18.818768
273, 727, 19.904345, 19.473270
272, 728, 19.995632, 20.146006
266, 734, 20.100578, 20.346416
261, 739, 20.214800, 20.293310
254, 746, 20.325029, 19.408098
246, 754, 20.444748, 19.014627
245, 755, 20.562489, 18.896997
246, 754, 20.671837, 18.956625
248, 752, 20.780630, 19.388470
245, 755, 20.916697, 20.816154
243, 757, 21.071234, 21.666229
242, 758, 21.236757, 22.503611
249, 751, 21.384504, 23.033564
253, 747, 21.519627, 23.464094
251, 749, 21.659649, 23.672522
247, 753, 21.798161, 23.196011
245, 755, 21.924820, 22.884642
251, 749, 22.021458, 22.479692
252, 748, 22.103310, 22.173775
247, 753, 22.195452, 21.906307
243, 757, 22.287750, 21.635393
244, 756, 22.375677, 21.716984
246, 754, 22.453779, 21.907591
247, 753, 22.529318, 22.051636
244, 756, 22.615559, 22.379171
242, 758, 22.709764, 22.709114
243, 757, 22.801182, 22.995735
246, 754, 22.879581, 22.826523
244, 756, 22.956671, 22.768297
242, 758, 23.040462, 22.931765
241, 759, 23.126366, 23.193197
246, 754, 23.200817, 23.504032
248, 752, 23.266037, 23.467661
244, 756, 23.345879, 23.779917
241, 759, 23.430197, 23.890347
242, 758, 23.511190, 24.002298
250, 750, 23.562416, 23.787395
251, 749, 23.608013, 23.832121
250, 750, 23.662432, 24.258049
254, 746, 23.706064, 24.492039
266, 734, 23.729771, 25.344763
272, 728, 23.732601, 25.285162
271, 729, 23.736639, 25.138527
271, 729, 23.732035, 24.733923
278, 722, 23.699657, 24.211178
287, 713, 23.626656, 23.534838
289, 711, 23.551872, 23.500437
290, 710, 23.484625, 23.788517
296, 704, 23.403275, 24.298166
305, 695, 23.319944, 25.393566
318, 682, 23.214972, 25.722569
327, 673, 23.087605, 25.734209
334, 666, 22.901064, 25.314962
339, 661, 22.742006, 24.631395
342, 658, 22.575310, 24.094110
343, 657, 22.384270, 23.493423
345, 655, 22.198732, 22.950352
351, 649, 21.959454, 22.304630
356, 644, 21.738462, 22.010679
361, 639, 21.504808, 22.026228
366, 634, 21.275261, 22.144604
367, 633, 21.056133, 22.026525
366, 634, 20.829765, 21.388386
368, 632, 20.608772, 20.701468
369, 631, 20.383507, 19.848448
371, 629, 20.169073, 20.197306
376, 624, 19.958347, 20.539919
375, 625, 19.770805, 21.110121
378, 622, 19.583256, 21.137779
